filename,timestamp,status,selection
all_all_35191234_20250725_065429.zip,2025-07-25 06:54:29,Completed,"College: All | Department: All | UserID: 35191234 | Sections: experience, research, qualification, proof, course, defense, publication"
all_all_35191234_20250725_091906.zip,2025-07-25 09:19:06,Completed,College: All | Department: All | UserID: 35191234 | Sections: experience
all_all_35191234_20250725_093432.zip,2025-07-25 09:34:32,Completed,College: All | Department: All | UserID: 35191234 | Sections: experience
all_all_35191234_20250725_094035.zip,2025-07-25 09:40:35,Completed,"College: All | Department: All | UserID: 35191234 | Sections: experience, qualification, course"
all_all_35191234_20250725_095007.zip,2025-07-25 09:50:07,Completed,"College: All | Department: All | UserID: 35191234 | Sections: experience, course"
all_all_35191234_20250725_095555.zip,2025-07-25 09:55:55,Completed,"College: All | Department: All | UserID: 35191234 | Sections: experience, qualification, proof, defense, course"
all_all_35191234_20250725_122519.zip,2025-07-25 12:25:19,Completed,"College: All | Department: All | UserID: 35191234 | Sections: experience, course"
all_all_35110_20250726_104859.zip,2025-07-26 10:48:59,Completed,College: All | Department: All | UserID: 35110 | Sections: All
all_all_all_20250726_104942.zip,2025-07-26 10:49:42,Completed,College: All | Department: All | UserID: All | Sections: All
all_all_35110_20250726_104947.zip,2025-07-26 10:49:47,Completed,College: All | Department: All | UserID: 35110 | Sections: All
all_all_35110_20250726_105007.zip,2025-07-26 10:50:07,Completed,College: All | Department: All | UserID: 35110 | Sections: All
all_all_35110_20250726_105023.zip,2025-07-26 10:50:23,Completed,College: All | Department: All | UserID: 35110 | Sections: All
all_all_35426_20250726_111007.zip,2025-07-26 11:10:07,Completed,College: All | Department: All | UserID: 35426 | Sections: All
C1_all_35426_20250726_111113.zip,2025-07-26 11:11:13,Completed,College: C1 | Department: All | UserID: 35426 | Sections: All
all_all_35426_20250726_111851.zip,2025-07-26 11:18:51,Completed,College: All | Department: All | UserID: 35426 | Sections: All
all_all_35191234_20250726_113719.zip,2025-07-26 11:37:19,Completed,College: All | Department: All | UserID: 35191234 | Sections: All
all_all_35110_20250726_145619.zip,2025-07-26 14:56:19,Completed,"College: All | Department: All | UserID: 35110 | Sections: experience, qualification, proof"
all_all_35191234_20250726_145724.zip,2025-07-26 14:57:24,Completed,"College: All | Department: All | UserID: 35191234 | Sections: experience, qualification"
all_all_35426_20250726_145750.zip,2025-07-26 14:57:50,Completed,College: All | Department: All | UserID: 35426 | Sections: All
all_all_35426_20250726_145835.zip,2025-07-26 14:58:35,Completed,"College: All | Department: All | UserID: 35426 | Sections: experience, qualification, proof"
all_all_35426_20250726_145857.zip,2025-07-26 14:58:57,Completed,College: All | Department: All | UserID: 35426 | Sections: All
all_all_all_20250726_152043.zip,2025-07-26 15:20:43,Completed,"College: All | Department: All | UserID: All | Sections: experience, qualification, proof, course"
all_all_all_20250726_152046.zip,2025-07-26 15:20:46,Completed,College: All | Department: All | UserID: All | Sections: experience
all_all_all_20250726_152249.zip,2025-07-26 15:22:49,Completed,"College: All | Department: All | UserID: All | Sections: experience, qualification, proof, course, defense, publication"
all_all_35426_20250726_152433.zip,2025-07-26 15:24:33,Completed,"College: All | Department: All | UserID: 35426 | Sections: experience, qualification, proof, course, defense, publication"
all_all_all_20250726_152655.zip,2025-07-26 15:26:55,Completed,"College: All | Department: All | UserID: All | Sections: experience, qualification, proof, course, defense, publication"
all_all_35191_20250726_160902.zip,2025-07-26 16:09:02,Completed,"College: All | Department: All | UserID: 35191 | Sections: experience, qualification, proof, course, publication"
all_all_35426_20250727_064531.zip,2025-07-27 06:45:31,Completed,College: All | Department: All | UserID: 35426 | Sections: All
all_all_35191234_20250728_092958.zip,2025-07-28 09:29:58,Completed,College: All | Department: All | UserID: 35191234 | Sections: proof
all_all_35191_20250728_093126.zip,2025-07-28 09:31:26,Completed,College: All | Department: All | UserID: 35191 | Sections: All
all_all_all_20250728_093200.zip,2025-07-28 09:32:00,Completed,"College: All | Department: All | UserID: All | Sections: experience, qualification, proof, course, defense, publication, research"
all_all_35191_20250728_093224.zip,2025-07-28 09:32:24,Completed,"College: All | Department: All | UserID: 35191 | Sections: experience, qualification, proof, course, defense, publication, research"
all_all_35426_20250728_123714.zip,2025-07-28 12:37:14,Completed,College: All | Department: All | UserID: 35426 | Sections: All
all_all_35191234_20250802_172619.zip,2025-08-02 17:26:19,Completed,College: All | Department: All | UserID: 35191234 | Sections: All
all_all_35191234_20250802_172737.zip,2025-08-02 17:27:37,Completed,College: All | Department: All | UserID: 35191234 | Sections: All
all_all_all_20250805_160134.zip,2025-08-05 16:01:34,Completed,College: All | Department: All | UserID: All | Sections: All
C1_General_Medicine_all_20250810_081054.zip,2025-08-10 08:10:54,Completed,"College: C1 | Department: General Medicine | UserID: All | Sections: experience, qualification, proof"
all_all_35110_20250810_180751.zip,2025-08-10 18:07:51,Completed,College: All | Department: All | UserID: 35110 | Sections: All
all_all_35191_20250810_180913.zip,2025-08-10 18:09:13,Completed,"College: All | Department: All | UserID: 35191 | Sections: experience, qualification"
all_all_all_20250812_171056.zip,2025-08-12 17:10:56,Completed,"College: All | Department: All | UserID: All | Sections: course, qualification, defense"
all_all_all_20250812_171617.zip,2025-08-12 17:16:17,Completed,"College: All | Department: All | UserID: All | Sections: course, defense"
all_all_all_20250813_220746.zip,2025-08-13 22:07:46,Completed,"College: All | Department: All | UserID: All | Sections: course, defense"
all_General_Medicine_35191234_20250815_131657.zip,2025-08-15 13:16:57,Completed,"College: All | Department: General Medicine | UserID: 35191234 | Sections: experience, proof, qualification"
all_all_all_20250901_092757.zip,2025-09-01 09:27:57,Completed,"College: All | Department: All | UserID: All | Sections: course, defense"
C1_General_Medicine_35191_20251121_134439.zip,2025-11-21 13:44:39,Completed,"College: C1 | Department: General Medicine | UserID: 35191 | Sections: experience, qualification, proof, course, defense"
C1_General_Medicine_35191_20251121_134628.zip,2025-11-21 13:46:28,Completed,"College: C1 | Department: General Medicine | UserID: 35191 | Sections: experience, qualification, proof, course, publication, research, defense"
